Match,Time,Speedup,Efficiency
1,346,1,1
1,229,1.51092,0.755459
1,187,1.85027,0.616756
1,160,2.1625,0.540625
1,144,2.40278,0.480556
1,144,2.40278,0.400463
1,121,2.8595,0.408501
1,111,3.11712,0.38964
