Match,Time,Speedup,Efficiency
1,184,1,1
1,115,1.6,0.8
1,97,1.89691,0.632302
1,98,1.87755,0.469388
1,102,1.80392,0.360784
1,91,2.02198,0.336996
1,84,2.19048,0.312925
1,75,2.45333,0.306667
