Match,Time,Speedup,Efficiency
1,351,1,1
1,211,1.66351,0.831754
1,159,2.20755,0.735849
1,152,2.30921,0.577303
1,155,2.26452,0.452903
1,154,2.27922,0.37987
1,172,2.0407,0.291528
1,153,2.29412,0.286765
