Match,Time,Speedup,Efficiency
1,381,1,1
1,261,1.45977,0.729885
1,184,2.07065,0.690217
1,185,2.05946,0.514865
1,170,2.24118,0.448235
1,165,2.30909,0.384848
1,152,2.50658,0.358083
1,160,2.38125,0.297656
