Match,Time,Speedup,Efficiency
1,231,1,1
1,118,1.95763,0.978814
1,115,2.0087,0.669565
1,112,2.0625,0.515625
1,104,2.22115,0.444231
1,96,2.40625,0.401042
1,81,2.85185,0.407407
1,94,2.45745,0.307181
