Match,Time,Speedup,Efficiency
1,196,1,1
1,135,1.45185,0.725926
1,148,1.32432,0.441441
1,229,0.855895,0.213974
1,198,0.989899,0.19798
1,178,1.10112,0.183521
1,151,1.29801,0.18543
1,156,1.25641,0.157051
