Match,Time,Speedup,Efficiency
1,360,1,1
1,415,0.86747,0.433735
1,404,0.891089,0.29703
1,423,0.851064,0.212766
1,375,0.96,0.192
1,325,1.10769,0.184615
1,279,1.29032,0.184332
1,293,1.22867,0.153584
